scheduler,xstreams,size1,chunks1,size2,chunks2,size3,chunks3,size4,chunks4,task_count,total_time_seconds,total_real_time_nanos,total_steal_operations,total_stolen_tasks,verification
old,1,384,80,320,67,256,53,192,40,4,15.67,15716506000,0,0,SUCCESSFUL
old,2,384,80,320,67,256,53,192,40,4,18.49,9271735000,45,129,SUCCESSFUL
old,4,384,80,320,67,256,53,192,40,4,31.02,8091909000,1284,4983,SUCCESSFUL
old,8,384,80,320,67,256,53,192,40,4,44.53,8583518000,5235,11293,SUCCESSFUL
new,1,384,80,320,67,256,53,192,40,4,15.85,15915308000,0,0,SUCCESSFUL
new,2,384,80,320,67,256,53,192,40,4,19.48,10078199000,159,272,SUCCESSFUL
new,4,384,80,320,67,256,53,192,40,4,31.01,7995965000,1346,2925,SUCCESSFUL
new,8,384,80,320,67,256,53,192,40,4,45.78,7527491000,3998,7879,SUCCESSFUL
