scheduler,xstreams,threads,batch,total_time_seconds,total_real_time_nanos,total_steal_operations,total_stolen_tasks,verification
old,8,6,1,266.85,291315044000,28761,28761,SUCCESSFUL
old,8,10,1,259.37,304624379000,51454,51454,SUCCESSFUL
old,8,12,1,252.24,301690869000,131310,131310,SUCCESSFUL
old,8,14,1,249.55,297493900000,70478,70478,SUCCESSFUL
new,8,6,1,733.07,745432566000,13492,13492,SUCCESSFUL
new,8,10,1,936.85,928867715000,21352,21352,SUCCESSFUL
new,8,12,1,958.92,976750612000,26271,26271,SUCCESSFUL
new,8,14,1,952.70,940151651000,31049,31049,SUCCESSFUL
